customer_id,gender,age_group,loyalty_member
1,Male,51+,True
2,Female,36-50,True
3,Male,36-50,False
4,Female,36-50,True
5,Female,26-35,False
6,Male,26-35,True
7,Female,26-35,True
8,Female,18-25,True
9,Other,51+,False
10,Female,26-35,True
11,Female,51+,False
12,Female,51+,False
13,Other,51+,False
14,Male,18-25,True
15,Other,18-25,True
16,Other,36-50,True
17,Male,36-50,False
18,Other,51+,False
19,Male,36-50,True
20,Other,51+,False
21,Male,18-25,True
22,Female,18-25,True
23,Other,18-25,True
24,Other,26-35,True
25,Other,51+,False
26,Other,18-25,True
27,Female,51+,True
28,Other,36-50,True
29,Female,36-50,True
30,Female,18-25,True
31,Female,51+,True
32,Female,18-25,True
33,Male,36-50,False
34,Male,18-25,False
35,Other,51+,False
36,Male,36-50,False
37,Male,26-35,True
38,Other,36-50,False
39,Other,26-35,False
40,Other,18-25,False
41,Male,18-25,True
42,Male,51+,False
43,Other,26-35,False
44,Female,18-25,True
45,Other,26-35,False
46,Female,18-25,True
47,Female,36-50,False
48,Other,18-25,True
49,Other,51+,False
50,Other,36-50,False
51,Male,51+,False
52,Female,36-50,True
53,Male,26-35,False
54,Male,51+,True
55,Other,18-25,True
56,Male,26-35,True
57,Other,18-25,True
58,Female,36-50,False
59,Other,36-50,False
60,Male,18-25,False
61,Male,18-25,True
62,Other,26-35,False
63,Other,18-25,True
64,Male,51+,True
65,Female,51+,True
66,Female,18-25,False
67,Other,51+,False
68,Female,18-25,True
69,Male,26-35,False
70,Other,51+,False
71,Male,51+,True
72,Male,18-25,True
73,Female,51+,False
74,Other,36-50,True
75,Other,26-35,True
76,Female,26-35,False
77,Male,51+,False
78,Male,51+,True
79,Male,36-50,False
80,Male,36-50,True
81,Other,51+,True
82,Other,51+,False
83,Female,36-50,True
84,Female,18-25,True
85,Other,36-50,True
86,Other,18-25,False
87,Male,26-35,False
88,Male,26-35,False
89,Female,36-50,True
90,Other,18-25,True
91,Female,36-50,False
92,Other,36-50,False
93,Male,18-25,False
94,Female,36-50,True
95,Female,26-35,False
96,Other,51+,True
97,Male,51+,False
98,Female,36-50,True
99,Male,18-25,True
100,Female,18-25,False
101,Male,26-35,True
102,Other,18-25,False
103,Female,18-25,True
104,Female,26-35,True
105,Male,36-50,False
106,Male,51+,True
107,Female,26-35,False
108,Other,36-50,False
109,Male,26-35,False
110,Male,36-50,True
111,Male,26-35,True
112,Female,36-50,True
113,Female,26-35,False
114,Female,36-50,False
115,Female,26-35,True
116,Other,51+,True
117,Other,51+,False
118,Female,18-25,True
119,Other,36-50,False
120,Male,26-35,True
121,Male,36-50,False
122,Male,51+,True
123,Female,36-50,True
124,Male,26-35,False
125,Other,36-50,False
126,Female,26-35,False
127,Other,51+,True
128,Male,51+,False
129,Male,51+,False
130,Male,18-25,True
131,Female,51+,False
132,Other,36-50,False
133,Female,18-25,False
134,Female,51+,True
135,Male,36-50,True
136,Female,36-50,True
137,Female,36-50,False
138,Male,26-35,True
139,Female,18-25,False
140,Male,36-50,False
141,Male,26-35,False
142,Male,51+,True
143,Male,36-50,True
144,Female,26-35,False
145,Male,36-50,False
146,Male,18-25,True
147,Female,18-25,True
148,Female,51+,True
149,Other,36-50,False
150,Female,26-35,True
151,Female,51+,True
152,Other,36-50,True
153,Female,51+,False
154,Female,26-35,True
155,Female,51+,False
156,Female,51+,False
157,Other,51+,False
158,Female,36-50,True
159,Female,26-35,True
160,Other,18-25,True
161,Male,36-50,False
162,Other,18-25,True
163,Male,18-25,False
164,Other,36-50,True
165,Other,36-50,True
166,Female,26-35,True
167,Male,26-35,True
168,Female,51+,False
169,Male,18-25,False
170,Other,26-35,False
171,Other,51+,False
172,Male,26-35,True
173,Female,36-50,False
174,Female,26-35,False
175,Female,18-25,False
176,Female,26-35,True
177,Other,18-25,False
178,Other,36-50,False
179,Other,18-25,True
180,Other,26-35,True
181,Other,51+,False
182,Female,36-50,False
183,Female,26-35,True
184,Female,36-50,False
185,Female,36-50,True
186,Other,26-35,False
187,Other,26-35,False
188,Other,51+,False
189,Male,36-50,False
190,Female,36-50,False
191,Female,26-35,True
192,Other,18-25,True
193,Female,26-35,False
194,Female,36-50,False
195,Other,26-35,False
196,Male,51+,True
197,Male,18-25,True
198,Male,26-35,True
199,Other,51+,True
200,Female,36-50,True
201,Other,26-35,True
202,Other,36-50,True
203,Female,51+,True
204,Male,36-50,False
205,Male,51+,True
206,Other,51+,True
207,Male,51+,True
208,Other,26-35,True
209,Other,36-50,False
210,Female,36-50,True
211,Female,18-25,False
212,Female,18-25,False
213,Other,18-25,False
214,Female,18-25,True
215,Male,36-50,True
216,Male,51+,True
217,Other,51+,False
218,Other,26-35,False
219,Female,51+,False
220,Other,36-50,False
221,Other,36-50,True
222,Male,36-50,True
223,Male,26-35,True
224,Female,18-25,False
225,Other,51+,False
226,Other,36-50,True
227,Male,36-50,True
228,Other,18-25,False
229,Male,36-50,True
230,Female,51+,True
231,Male,26-35,False
232,Other,36-50,False
233,Female,51+,False
234,Male,36-50,True
235,Male,18-25,False
236,Female,36-50,True
237,Female,36-50,True
238,Male,26-35,False
239,Other,18-25,True
240,Male,18-25,False
241,Female,26-35,False
242,Male,36-50,True
243,Female,51+,True
244,Female,18-25,False
245,Other,18-25,False
246,Female,36-50,False
247,Female,36-50,False
248,Other,18-25,False
249,Female,36-50,False
250,Other,51+,True
251,Other,18-25,True
252,Female,51+,True
253,Female,51+,True
254,Male,36-50,False
255,Other,51+,True
256,Male,36-50,True
257,Female,26-35,False
258,Male,36-50,True
259,Other,51+,False
260,Male,26-35,False
261,Other,36-50,False
262,Female,51+,False
263,Female,18-25,False
264,Other,18-25,True
265,Female,36-50,True
266,Female,36-50,True
267,Female,18-25,False
268,Female,51+,True
269,Other,51+,True
270,Male,51+,True
271,Male,36-50,True
272,Female,26-35,False
273,Male,26-35,True
274,Male,26-35,False
275,Female,26-35,False
276,Female,26-35,True
277,Male,36-50,False
278,Other,36-50,False
279,Female,26-35,False
280,Other,36-50,False
